Item,ValueUSD,Probability,,
SKU_40,71.47,0.02,,
SKU_49,102.51,0.02,,
SKU_38,104,0.02,,
SKU_50,111.71,0.02,,
SKU_39,120.62,0.02,,
SKU_51,124,0.02,,
SKU_53,130,0.02,,
SKU_6,130.52,0.02,,
SKU_8,132.7,0.02,,
SKU_7,133.33,0.02,,
SKU_20,133.4,0.02,,
SKU_18,142.8,0.02,,
SKU_42,168.3,0.02,,
SKU_55,202.77,0.02,,
SKU_52,215.13,0.02,,
SKU_54,266.73,0.02,,
SKU_19,328.52,0.02,,
SKU_60,337.01,0.02,,
SKU_47,348,0.02,,
SKU_41,349.37,0.02,,
SKU_43,350,0.02,,
SKU_45,366.92,0.02,,
SKU_59,371.42,0.02,,
SKU_57,391.5,0.00,,
SKU_32,400.06,0.02,,
SKU_46,449,0.02,,
SKU_30,449.35,0.02,,
SKU_10,450,0.02,,
SKU_58,450.99,0.02,,
SKU_22,462.69,0.02,,
SKU_12,497,0.02,,
SKU_48,524.76,0.02,,
SKU_44,561.62,0.02,,
SKU_11,588.09,0.00,,
SKU_9,623.17,0.02,,
SKU_4,659.98,0.00,,
SKU_31,766.49,0.02,,
SKU_24,940.69,0.02,,
SKU_37,998.12,0.02,,
SKU_56,1151.46,0.02,,
SKU_23,1179.54,0.02,,
SKU_21,1193.59,0.02,,
SKU_13,1263.8,0.02,,
SKU_2,1291.88,0.00,,
SKU_16,1555,0.02,,
SKU_14,1633.57,0.02,,
SKU_3,1698.96,0.02,,
SKU_34,1919,0.02,,
SKU_33,2036.52,0.00,,
SKU_5,2050.04,0.00,,
SKU_15,2090.46,0.00,,
SKU_36,2763.6,0.00,,
SKU_35,2800.8,0.00,,
SKU_1,2850,0.02,,
SKU_25,6000,0.00,,
SKU_28,6670,0.00,,
SKU_26,6990.81,0.00,,
SKU_29,9450,0.00,,
SKU_17,10768.28,0.00,,
SKU_27,10888.82,0.00,,
