TotalProfitUSD,Probability
-6200.0,3.016453731762014e-17
-6180.0,5.884100715350392e-16
-6160.0,6.168320926735678e-15
-6140.0,4.5814919444483135e-14
-6120.0,2.6945279842549743e-13
-6100.0,1.325791171589768e-12
-6080.0,5.6416001292238974e-12
-6060.0,2.122281000671046e-11
-6040.0,7.165638661791694e-11
-6020.0,2.195712757324815e-10
-6000.0,6.157545603265002e-10
-5980.0,1.5905538827718582e-09
-5960.0,3.803777174074068e-09
-5940.0,8.456633231207514e-09
-5920.0,1.7537394874683653e-08
-5900.0,3.402316435582644e-08
-5880.0,6.19076472929316e-08
-5860.0,1.059075583870032e-07
-5840.0,1.7076681489148799e-07
-5820.0,2.6023599070335574e-07
-5800.0,3.760394037542914e-07
-5780.0,5.173350710636366e-07
-5760.0,6.811333416847149e-07
-5740.0,8.639012642787988e-07
-5720.0,1.064092252433999e-06
-5700.0,1.284803838952422e-06
-5680.0,1.5357511125277903e-06
-5660.0,1.8337834171594531e-06
-5640.0,2.201468545997473e-06
-5620.0,2.6640746640474733e-06
-5600.0,3.2452251894255846e-06
-5580.0,3.962078697071591e-06
-5560.0,4.822171082508377e-06
-5540.0,5.823391658906479e-06
-5520.0,6.957748263016902e-06
-5500.0,8.218466998899139e-06
-5480.0,9.60677913767363e-06
-5460.0,1.1134416979056288e-05
-5440.0,1.282269064609468e-05
-5420.0,1.47005880068958e-05
-5400.0,1.6801696511894575e-05
-5380.0,1.916242974217548e-05
-5360.0,2.1820379427575758e-05
-5340.0,2.480549772878816e-05
-5320.0,2.8134270865535898e-05
-5300.0,3.181707612808479e-05
-5280.0,3.5865620813412494e-05
-5260.0,4.029807807792453e-05
-5240.0,4.514274806278391e-05
-5220.0,5.04223213731154e-05
-5200.0,5.613900368706398e-05
-5180.0,6.229314349440333e-05
-5160.0,6.890227357479223e-05
-5140.0,7.599200736445058e-05
-5120.0,8.359229778458659e-05
-5100.0,9.172572288228696e-05
-5080.0,0.00010038603112106666
-5060.0,0.00010957746677345761
-5040.0,0.00011935822376671126
-5020.0,0.00012978750889183752
-5000.0,0.00014088944383355013
-4980.0,0.00015266682898520514
-4960.0,0.00016508658495661637
-4940.0,0.00017812169468820887
-4920.0,0.00019181763737212356
-4900.0,0.00020619931528881744
-4880.0,0.00022119695662750082
-4860.0,0.00023674404051017166
-4840.0,0.0002528238772112928
-4820.0,0.00026945320062427854
-4800.0,0.0002867370766947201
-4780.0,0.00030475486993513897
-4760.0,0.0003234228556830035
-4740.0,0.0003426748687027003
-4720.0,0.0003625589097211483
-4700.0,0.000383076969338995
-4680.0,0.0004042115911982853
-4660.0,0.0004259082739267358
-4640.0,0.00044796952820159227
-4620.0,0.00047030689998614863
-4600.0,0.0004930839865520655
-4580.0,0.0005163888638300519
-4560.0,0.0005401872573401598
-4540.0,0.0005644750157941898
-4520.0,0.0005891660336584606
-4500.0,0.0006142250684395673
-4480.0,0.0006398341004003502
-4460.0,0.0006659647122921178
-4440.0,0.0006923493132996614
-4420.0,0.0007189360610483701
-4400.0,0.0007457381198521285
-4380.0,0.0007727460240302346
-4360.0,0.0008001485182479295
-4340.0,0.000827911089617804
-4320.0,0.0008557507521266257
-4300.0,0.0008837614083968948
-4280.0,0.0009121350547627207
-4260.0,0.0009407882933895733
-4240.0,0.000969760343815373
-4220.0,0.0009990222292408238
-4200.0,0.0010283249427956007
-4180.0,0.0010578658370711503
-4160.0,0.0010879483202535158
-4140.0,0.00111831531487806
-4120.0,0.0011488617104054501
-4100.0,0.0011797183170794846
-4080.0,0.0012106974437946407
-4060.0,0.0012419344624025322
-4040.0,0.0012736919579995189
-4020.0,0.0013055289562666818
-4000.0,0.0013372985894055044
-3980.0,0.0013694382513800667
-3960.0,0.0014018824745720907
-3940.0,0.0014346163622021588
-3920.0,0.0014679201614461316
-3900.0,0.001501418712772844
-3880.0,0.0015349838575425324
-3860.0,0.001569235048754347
-3840.0,0.0016040126700400147
-3820.0,0.001638860769991023
-3800.0,0.0016740331522044597
-3780.0,0.0017093481041938604
-3760.0,0.001744620679973954
-3740.0,0.001780538285761692
-3720.0,0.0018169478665649664
-3700.0,0.0018531830622282007
-3680.0,0.001889739437273788
-3660.0,0.0019267879136590995
-3640.0,0.001963903542688658
-3620.0,0.0020015175919221974
-3600.0,0.00203944625270971
-3580.0,0.002076871034492334
-3560.0,0.0021144151113116814
-3540.0,0.0021525310253543016
-3520.0,0.002190523754102155
-3500.0,0.0022286398021757795
-3480.0,0.002267096415082688
-3460.0,0.002305217800975195
-3440.0,0.0023435487122587784
-3420.0,0.0023826079538789655
-3400.0,0.00242131580445297
-3380.0,0.002459621383486622
-3360.0,0.0024981722397700015
-3340.0,0.002536344603582014
-3320.0,0.002574327559325063
-3300.0,0.0026127357283448976
-3280.0,0.0026504999166489843
-3260.0,0.0026875613533651047
-3240.0,0.002725045895627249
-3220.0,0.0027623402842409557
-3200.0,0.002799104440480936
-3180.0,0.002836032112374262
-3160.0,0.0028723327939940836
-3140.0,0.0029078273812073187
-3120.0,0.0029437700905582563
-3100.0,0.002979535968454925
-3080.0,0.003014277648887987
-3060.0,0.0030489176476432003
-3040.0,0.003083189183101128
-3020.0,0.003116583265409992
-3000.0,0.0031502238226387377
-2980.0,0.003183614542636606
-2960.0,0.003215569880814463
-2940.0,0.003247257909381903
-2920.0,0.0032789014505460786
-2900.0,0.0033095158253412436
-2880.0,0.003339975640092306
-2860.0,0.003370221393073702
-2840.0,0.003399041342877726
-2820.0,0.0034276324178797823
-2800.0,0.0034565707595114264
-2780.0,0.003484416467429321
-2760.0,0.0035116746121991067
-2740.0,0.003538896394356529
-2720.0,0.003564901536620539
-2700.0,0.003590482654478844
-2680.0,0.0036165104357899006
-2660.0,0.003641408304861307
-2640.0,0.0036654079290474153
-2620.0,0.003689780301346966
-2600.0,0.003713418526771326
-2580.0,0.0037363876874100636
-2560.0,0.0037597635547958965
-2540.0,0.003782106536506204
-2520.0,0.0038032759870704766
-2500.0,0.0038249705119953467
-2480.0,0.0038461685554226593
-2460.0,0.0038662292470448252
-2440.0,0.0038865784914437766
-2420.0,0.003906362743161169
-2400.0,0.003925084164346879
-2380.0,0.003944517608769509
-2360.0,0.003963827676803546
-2340.0,0.003981750342768548
-2320.0,0.0039998556084855355
-2300.0,0.004017919151857966
-2280.0,0.004034857909556968
-2260.0,0.004052114886686063
-2240.0,0.004069313652140422
-2220.0,0.00408484107731821
-2200.0,0.004100306212133952
-2180.0,0.004116184700740919
-2160.0,0.0041308050050982295
-2140.0,0.004145192672763879
-2120.0,0.004159710736822528
-2100.0,0.0041726346847955715
-2080.0,0.004185324673083182
-2060.0,0.004198758812357915
-2040.0,0.004210870087810922
-2020.0,0.004222224632409895
-2000.0,0.004233954093855735
-1980.0,0.00424442363258356
-1960.0,0.004254343125286854
-1940.0,0.004264970096543905
-1920.0,0.00427421159451421
-1900.0,0.004282118635036518
-1880.0,0.004290490232431652
-1860.0,0.004297924912889226
-1840.0,0.004304243127983304
-1820.0,0.004311010273004863
-1800.0,0.004316625250842323
-1780.0,0.004320660798351121
-1760.0,0.004325338597680697
-1740.0,0.004329529188077337
-1720.0,0.004332114956779206
-1700.0,0.004334908403419695
-1680.0,0.004337021102523887
-1660.0,0.004337465872857126
-1640.0,0.0043384580314351166
-1620.0,0.004339230796334112
-1600.0,0.004338038939921971
-1580.0,0.004336866588317322
-1560.0,0.004335670941147326
-1540.0,0.004332910916620266
-1520.0,0.0043303156363588375
-1500.0,0.004327718668634127
-1480.0,0.004323141442492917
-1460.0,0.004318371903858386
-1440.0,0.004314162516670311
-1420.0,0.004308463780054208
-1400.0,0.004302315120265563
-1380.0,0.004296505032018913
-1360.0,0.004289078240922815
-1340.0,0.004281283291875188
-1320.0,0.00427447455069652
-1300.0,0.00426625390388784
-1280.0,0.004257043555476463
-1260.0,0.0042485566848674714
-1240.0,0.004238998450116574
-1220.0,0.0042288118796508555
-1200.0,0.004219652624800579
-1180.0,0.00420932236347138
-1160.0,0.004197752978954383
-1140.0,0.004187211821972516
-1120.0,0.004176191761289481
-1100.0,0.004164087966555629
-1080.0,0.004152704624906551
-1060.0,0.004140562304529892
-1040.0,0.004126999580564967
-1020.0,0.0041144576828636556
-1000.0,0.004101886057356449
-980.0,0.0040877671456970265
-960.0,0.004074147304439062
-940.0,0.00406053014152311
-920.0,0.004045567564544676
-900.0,0.004031436364995357
-880.0,0.004017582795800748
-860.0,0.004001893336587008
-840.0,0.003986478044415176
-820.0,0.0039716820996536974
-800.0,0.0039555042881630285
-780.0,0.003939587927432814
-760.0,0.003924149352367678
-740.0,0.003907020301698934
-720.0,0.00388998677030292
-700.0,0.0038740071279716425
-680.0,0.003856677732818107
-660.0,0.003838898175327607
-640.0,0.003821802936315701
-620.0,0.0038034395417320876
-600.0,0.0037847870635388204
-580.0,0.003767297984328395
-560.0,0.0037485739485340046
-540.0,0.003728882456796252
-520.0,0.0037102637982916265
-500.0,0.0036909569780651207
-480.0,0.003670909482516281
-460.0,0.003651917365021476
-440.0,0.0036319454305619877
-420.0,0.0036107393747767634
-400.0,0.003590756797527978
-380.0,0.0035704760098335935
-360.0,0.0035489565023402864
-340.0,0.0035282088381563895
-320.0,0.003506998508178305
-300.0,0.0034845292263738174
-280.0,0.003463158140796196
-260.0,0.0034418569684725076
-240.0,0.0034189903105467335
-220.0,0.0033966327378173815
-200.0,0.003374512308441091
-180.0,0.003351160217313605
-160.0,0.0033284897785772474
-140.0,0.0033062269202457687
-120.0,0.0032823722284062015
-100.0,0.003258844118693662
-80.0,0.0032361978204176463
-60.0,0.003212374764286121
-40.0,0.003188701364355441
-20.0,0.0031657461449332716
0.0,0.003141426040952711
20.0,0.0031171840950058403
40.0,0.003094137621427025
60.0,0.0030699961194770166
80.0,0.0030455269092804875
100.0,0.00302209324858946
120.0,0.0029978408740828737
140.0,0.0029734069667441266
160.0,0.0029502081176750435
180.0,0.0029261853823344566
200.0,0.0029014593487629884
220.0,0.002877939574926555
240.0,0.0028541198845093685
260.0,0.002829643848262708
280.0,0.0028062487387247948
300.0,0.002782487300283861
320.0,0.0027578563620898676
340.0,0.0027345526290636097
360.0,0.0027114097009262573
380.0,0.0026872395783025336
400.0,0.002663971474038288
420.0,0.0026408350766213094
440.0,0.002616771897149766
460.0,0.0025937950333046167
480.0,0.0025711968844475755
500.0,0.0025473403279822134
520.0,0.0025241075212102688
540.0,0.0025015069516183502
560.0,0.002478009781767879
580.0,0.0024551377921096
600.0,0.002432904820336737
620.0,0.002409497180615078
640.0,0.0023864486050734716
660.0,0.0023644532172244757
680.0,0.002341625859133906
700.0,0.0023188838665762065
720.0,0.0022970089376896023
740.0,0.002274219264052326
760.0,0.0022514910338140882
780.0,0.0022299906731136827
800.0,0.0022077310189036396
820.0,0.0021850913740569505
840.0,0.0021634893266726206
860.0,0.002141332075664104
880.0,0.0021189120609810294
900.0,0.002097638442931106
920.0,0.002075804505565229
940.0,0.002053343059883524
960.0,0.0020320175711810683
980.0,0.002010580498521107
1000.0,0.0019885723883208716
1020.0,0.0019675068664490674
1040.0,0.0019462852782041844
1060.0,0.0019243231046035298
1080.0,0.0019034357027856597
1100.0,0.0018827968093672936
1120.0,0.001861266932591385
1140.0,0.0018404514840171995
1160.0,0.001819963475232966
1180.0,0.0017987387101458792
1200.0,0.0017783581147581217
1220.0,0.0017584492682696756
1240.0,0.0017375597652364307
1260.0,0.00171718890393822
1280.0,0.001697549485605319
1300.0,0.001677240968442197
1320.0,0.00165736684350318
1340.0,0.0016381410989044635
1360.0,0.0016180967264155318
1380.0,0.0015983670253374113
1400.0,0.001579651068187784
1420.0,0.001560363340535826
1440.0,0.0015410876612623578
1460.0,0.0015226394614357302
1480.0,0.001503677963067595
1500.0,0.001484798137231232
1520.0,0.001466995151376634
1540.0,0.0014487535294036007
1560.0,0.001430215314450452
1580.0,0.0014126420004614245
1600.0,0.0013949027328750366
1620.0,0.0013769562818420405
1640.0,0.0013599698900791572
1660.0,0.0013427554485572182
1680.0,0.001325056484556981
1700.0,0.0013083434427145636
1720.0,0.0012917528041318119
1740.0,0.001274688886539626
1760.0,0.0012583975106101762
1780.0,0.0012422036592438762
1800.0,0.0012255069953085857
1820.0,0.0012096861413072484
1840.0,0.0011942110040876195
1860.0,0.0011780779853003626
1880.0,0.0011625153457028084
1900.0,0.0011474166998919472
1920.0,0.0011318111819935664
1940.0,0.0011167943694300987
1960.0,0.0011022648233858757
1980.0,0.001087047111905772
2000.0,0.0010722314666053202
2020.0,0.0010581417123110217
2040.0,0.0010435657527463936
2060.0,0.0010292242401151743
2080.0,0.0010154586007818714
2100.0,0.0010011626703108473
2120.0,0.0009870897885535413
2140.0,0.0009738489232348119
2160.0,0.0009601912492321662
2180.0,0.0009464676993866535
2200.0,0.0009334517515507371
2220.0,0.0009201678408768802
2240.0,0.0009068948661894018
2260.0,0.0008944282150634563
2280.0,0.0008816528939372904
2300.0,0.0008686106890966299
2320.0,0.0008563358191127333
2340.0,0.0008440087124438585
2360.0,0.0008314582122152417
2380.0,0.0008195947554817012
2400.0,0.0008076232471781271
2420.0,0.0007952899154518376
2440.0,0.0007836946202839034
2460.0,0.0007722534936516797
2480.0,0.00076041061526639
2500.0,0.0007491082729651005
2520.0,0.0007379591506706678
2540.0,0.000726441316705477
2560.0,0.0007155132241446085
2580.0,0.0007048852264279559
2600.0,0.000693796688078921
2620.0,0.0006830980543046515
2640.0,0.0006728043381555459
2660.0,0.0006621782231286419
2680.0,0.000651908756062043
2700.0,0.0006420533267910686
2720.0,0.0006317653541765233
2740.0,0.0006217233313239243
2760.0,0.0006122540633114224
2780.0,0.0006024696038583609
2800.0,0.0005928094920622381
2820.0,0.0005836504766686543
2840.0,0.0005742004564954982
2860.0,0.0005648898663064904
2880.0,0.0005561912989607728
2900.0,0.0005472416661982288
2920.0,0.0005382285524617702
2940.0,0.0005297604583889354
2960.0,0.0005211929439663817
2980.0,0.0005125888265602798
3000.0,0.0005045339491955332
3020.0,0.0004963571990237312
3040.0,0.00048798967649844264
3060.0,0.0004801957199847591
3080.0,0.00047247427877001745
3100.0,0.00046455401887998226
3120.0,0.0004570997700666329
3140.0,0.00044967157782269964
3160.0,0.00044199442429053546
3180.0,0.0004348302979098839
3200.0,0.00042783821691143244
3220.0,0.00042053081942973805
3240.0,0.00041357625785353125
3260.0,0.0004068069339513647
3280.0,0.00039978064288299404
3300.0,0.0003931353163785378
3320.0,0.00038674669266229036
3340.0,0.00038002905085942744
3360.0,0.0003735554846528038
3380.0,0.00036740535224257675
3400.0,0.0003610339042107326
3420.0,0.0003548664596904579
3440.0,0.00034900808943900047
3460.0,0.00034287574915007284
3480.0,0.00033687474869648385
3500.0,0.00033128307719521407
3520.0,0.00032549955649326974
3540.0,0.0003197436461024981
3560.0,0.00031434444007730406
3580.0,0.0003087636191264283
3600.0,0.0003032220947593042
3620.0,0.000298100123349432
3640.0,0.00029281392735628416
3660.0,0.00028744658214569305
3680.0,0.0002824668343196478
3700.0,0.000277430118263301
3720.0,0.00027234297335660215
3740.0,0.00026761498683961095
3760.0,0.0002628181924684157
3780.0,0.00025787951161483234
3800.0,0.00025331456960778784
3820.0,0.0002488139624579763
3840.0,0.0002441511863371123
3860.0,0.00023976041707265142
3880.0,0.00023542600205849647
3900.0,0.00023093267704484216
3920.0,0.00022675145360394317
3940.0,0.00022270339261614244
3960.0,0.00021844274656191454
3980.0,0.00021438193449156934
4000.0,0.00021048846785358188
4020.0,0.00020644429496201354
4040.0,0.00020260692595886588
4060.0,0.00019894862992570796
4080.0,0.00019508313719341085
4100.0,0.00019135399317771036
4120.0,0.00018787135720527403
4140.0,0.00018425285306196122
4160.0,0.00018073377856555356
4180.0,0.00017742580688159953
4200.0,0.0001739592978871803
4220.0,0.00017056875242760157
4240.0,0.00016745394970188413
4260.0,0.00016423372168816809
4280.0,0.00016100946979899486
4300.0,0.0001580190229438971
4320.0,0.00015495447079799188
4340.0,0.00015188893838807775
4360.0,0.00014908700760582068
4380.0,0.00014621983630258873
4400.0,0.00014327170478846616
4420.0,0.00014057214848794305
4440.0,0.00013787117146746473
4460.0,0.00013510286077847563
4480.0,0.00013255432117120327
4500.0,0.00012999096047268925
4520.0,0.0001273272179384263
4540.0,0.00012489914201789295
4560.0,0.00012252673173997276
4580.0,0.00012003104176139397
4600.0,0.00011769722061996953
4620.0,0.00011543028144632329
4640.0,0.0001130603987503523
4660.0,0.00011087059477260747
4680.0,0.00010877039713187135
4700.0,0.00010652276142470852
4720.0,0.00010439084834224951
4740.0,0.00010238812308427561
4760.0,0.00010028721638203998
4780.0,9.828800794648057e-05
4800.0,9.639621390232702e-05
4820.0,9.4377052683996e-05
4840.0,9.243155790610524e-05
4860.0,9.064890895857162e-05
4880.0,8.877892058751833e-05
4900.0,8.694271742762316e-05
4920.0,8.523983157268002e-05
4940.0,8.345039623786501e-05
4960.0,8.169452593389892e-05
4980.0,8.010907008407723e-05
5000.0,7.844993352491569e-05
5020.0,7.677416770885002e-05
5040.0,7.524279207585918e-05
5060.0,7.36686449203924e-05
5080.0,7.20814583063567e-05
5100.0,7.064762319977388e-05
5120.0,6.917690423353938e-05
5140.0,6.764857304989646e-05
5160.0,6.626346379695664e-05
5180.0,6.488899079836878e-05
5200.0,6.346041117900334e-05
5220.0,6.215375035333251e-05
5240.0,6.085064082753085e-05
5260.0,5.948253558533691e-05
5280.0,5.823924764535757e-05
5300.0,5.7036275830738825e-05
5320.0,5.576141819856212e-05
5340.0,5.457047675427889e-05
5360.0,5.3427152720645756e-05
5380.0,5.222824029172418e-05
5400.0,5.1115370516794107e-05
5420.0,5.0062996339201446e-05
5440.0,4.8929057224296264e-05
5460.0,4.785149587012853e-05
5480.0,4.686091236965341e-05
5500.0,4.5811768338537175e-05
5520.0,4.480603761630986e-05
5540.0,4.3874760202661455e-05
5560.0,4.28746684714929e-05
5580.0,4.191365203327344e-05
5600.0,4.105472537728918e-05
5620.0,4.014246447022575e-05
5640.0,3.9234446816535354e-05
5660.0,3.8408963081585044e-05
5680.0,3.7546539539939747e-05
5700.0,3.6691760001071473e-05
5720.0,3.5932692633160625e-05
5740.0,3.5138906083382926e-05
